Name,Website,Youtube,About,TrustFactors,Topics,Wikipedia,X
Aeon,https://aeon.co/,n/a,"Science, philosophy, society and the arts","Not-for-profit, registered UK charity operated by Aeon Media Group Ltd. Deductible Gift Recipient (DGR) organization in Australia. Through Aeon America, US 501(c)(3) nonprofit organization. Funded by donations and sponsorships in email newsletters.","Philosophy, Science, Psychology, Society, Culture",https://en.wikipedia.org/wiki/Aeon_(digital_magazine),https://twitter.com/aeonmag
AllSides,https://www.allsides.com/,https://www.youtube.com/@AllSidesNow,"Unlike regular news services, AllSides exposes bias and provides multiple angles on the same story so you can quickly get the full picture, not just one slant.","AllSides staff self-report their political leanings. As of 2021, AllSides made money through paid memberships, one-time donations, media literacy training and online advertisements​​.","Abortion, Arts and Entertainment, Australia, Banking and Finance, Business, Campaign Finance, China, Civil Rights, Common Ground, Coronavirus, Criminal Justice, Culture, Defense and Security, Economy and Jobs, Education, Elections, Energy, Environment, Facts and Fact Checking, Fake News, Family and Marriage, Federal State and Tribal Powers, Foreign Policy, Free Speech, General News, Gun Control and Gun Rights, Healthcare, Housing and Homelessness, Humor and Satire, Immigration, Inequality, Justice, LGBTQ Issues, Media Bias, Media Industry, Middle East, Polarization, Politics, Presidential Election, Privacy, Public Health, Race and Racism, Religion and Faith, Russia, Russia-Ukraine Conflict, Science, Sexual Misconduct, Sports, Supreme Court, Sustainability, Taxes, Technology, Terrorism, The Americas, Threats to Democracy, Trade, US Census, US Constitution, Ukraine War, Violence in America, Voting Rights, Voter Fraud",https://en.wikipedia.org/wiki/AllSides,https://twitter.com/AllSidesNow
Al Jazeera,https://www.aljazeera.com,https://www.youtube.com/@aljazeeraenglish,"Qatar-based international news organization. It operates a website, aljazeera.com, which offers news coverage with a focus on the Middle East and global affairs. Known for its diverse viewpoints, especially from the Middle East, it covers a range of topics including politics, economics, culture, and social issues. Al Jazeera is recognized for its in-depth reporting and has gained a reputation for providing perspectives often not seen in Western media outlets.",Funded by the government of Qatar,"Politics, Middle East, International Relations, Economics, Social Issues, Culture, Environment, Science, Health, Human Rights, Conflicts, Diplomacy, Sports, Technology, Media Analysis, Israel Palestine conflict",https://en.wikipedia.org/wiki/Al_Jazeera,https://twitter.com/AJEnglish
Alternet,https://www.alternet.org,n/a,Award-winning news magazine and online community that creates original journalism and amplifies the best of hundreds of other independent media sources,"Until April 2018, financed through individual donations, grants from major donors, and ad revenue​​.","Progressive news and culture, including News & Politics, World, Economy, Civil Liberties, Immigration, Reproductive Justice, Environment, Animal Rights, Food, Water, Books, Media and Culture, Belief, Drugs, Personal Health, Sex and Relationships, Vision, and Investigations.",https://en.wikipedia.org/wiki/AlterNet,https://twitter.com/AlterNet
Amnesty International,https://www.amnesty.org,https://www.youtube.com/@amnesty,Human rights,UK registered charity. Funded by donations. No government or political party donations.,"Human Rights Advocacy, International Law, Social Justice, Civil Liberties, Humanitarian Aid",https://en.wikipedia.org/wiki/Amnesty_International,https://twitter.com/amnesty
Anthropocene Magazine,https://anthropocenemagazine.org/,n/a,"Anthropocene Magazine focuses on creating a sustainable human age, highlighting solutions rather than just environmental crises. They offer evidence-based journalism to spark discussions about innovation and reform in climate and sustainability science.","Nonprofit. Owned by Future Earth. Funded by donations, grants, and sponsorships, and by the U.S. US Science Foundation, which is funded by the U.S. government.","Anthropocene, Biodiversity, Cities, Decarbonization, Environment, Food & Agriculture, Climate Change, Sustainable Consumption, Oceans, Health, Green Business.",https://en.wikipedia.org/wiki/Anthropocene_(journal),https://twitter.com/AnthropoceneMag
BBC,http://www.bbc.com/news,https://www.youtube.com/@BBCNews,UK and global news,"Funded primarily by the UK television license fee.","News, Sport, Music, Science, Technology, Entertainment, Comedy, Food, Health, History, Learning, Music, Science and Nature.",https://en.wikipedia.org/wiki/BBC_News,https://twitter.com/BBCNews
Black Agenda Report,https://www.blackagendareport.com/,n/a,"News, commentary, and analysis from the Black left",Operated by Black journalists and activists. Audience supported.,"Africa, African America, Education, Environment, International affairs, Media and Culture, Political Economy, U.S. Politics, War, Empire",n/a,https://twitter.com/blkagendareport
BlackPressUSA,https://blackpressusa.com/,https://www.youtube.com/@BlackPressUSATV,News and commentary from African-American-owned newspapers and media companies,"Published by the US Newspaper Publishers Association (NNPA), the trade organization advocating for America’s African-American-owned newspapers and media companies. Features content by member publications and by NNPA News Service. Funded in part by corporate sponsorships.","U.S. and International News, Politics, Business, Arts and Entertainment, Sports, Lifestyle, Education, Technology, History",https://en.wikipedia.org/wiki/National_Newspaper_Publishers_Association,https://twitter.com/BlackPressUSA
Borderless Magazine,https://borderlessmag.org/,https://www.youtube.com/@BorderlessMagazine,Immigration news,501(c)(3) nonprofit organization. Funded by grants and donations. Partners with other media organizations. Viewpoint: immigration journalism for a more just and equitable future.,"Black Immigrants Today, After the Bus series, Afghans in Exile series, Environment, As Told To, Investigation, Arts & Culture, Immigration Policy, Resources",https://en.wikipedia.org/wiki/Borderless_(magazine),https://twitter.com/BorderlessMag
BreakThrough News,https://breakthroughnews.org,https://www.youtube.com/@BreakThroughNews,"BreakThrough News is a media outlet that focuses on providing alternative and independent news coverage, analysis, and commentary on various social, political, and economic issues. It aims to offer perspectives that may not be as prominently featured in mainstream media. BreakThrough News covers topics such as social justice, activism, inequality, international affairs, and more, with a particular emphasis on grassroots movements and marginalized communities. It seeks to challenge the status quo and provide a platform for voices that are often underrepresented in traditional media.","501(c)3 nonprofit organization in the United States. No corporate donations or state funding. Our funding derives from our viewers, supporters, and foundations that share our mission.","Israel Palestine conflict, Africa, Asia, Black America, Economy, Latin America, Middle East, U.S. Foreign Policy, Women's Rights, Climate, Labor, China, People's Movements, Palestine, News, Shows, Documentaries, Social Issues, Political Issues, Resistance Movements, Mainstream Media Critique.",https://en.wikipedia.org/wiki/BreakThrough_News,https://twitter.com/btnewsroomhttps://twitter.com/btnewsroom
Buffalo's Fire,https://www.buffalosfire.com/,https://www.youtube.com/@buffalosfiretv4193,American Indian news,"Published by the Indigenous Media Freedom Alliance, a 501(c)(3) nonprofit organization, located on the Fort Berthold Reservation in North Dakota. Edited by Jodi Rave Spotted Bear, who is Mandan-Hidatsa and Lakota. Reader supported.","Indigenous democracy, Environmental reporting, Cultural preservation",n/a,https://twitter.com/buffalosfire
Bulletin of the Atomic Scientists,https://thebulletin.org/,https://www.youtube.com/@BulletinAtomic,"Nuclear risk, climate change, and disruptive technologies",501(c)(3) nonprofit organization. Funded by grants and by individual and corporate donations. Viewpoint: opposed to extinction.,"Nuclear risk, Climate change, Disruptive technologies",https://en.wikipedia.org/wiki/Bulletin_of_the_Atomic_Scientists,https://twitter.com/BulletinAtomic
